/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:00:55.323015, 0.0s, 100B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:00:55.552809, 0.0304s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:01:26.249398, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:01:26.864641, 0.6043s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:01:26.872629, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:01:26.905532, 0.0239s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:01:26.945425, 0.0289s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:01:26.953403, 0.001s, 84B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:01:26.981329, 0.0199s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:03:25.570310, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:03:26.232893, 0.6516s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:03:26.239874, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:03:26.276776, 0.0289s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:03:26.314677, 0.0289s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:03:26.321657, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:03:26.360591, 0.028s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:05:59.679409, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:06:00.350518, 0.6611s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:06:00.358488, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:06:00.424435, 0.056s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:06:00.650680, 0.0315s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:06:00.659657, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:06:00.701795, 0.0326s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:13:06.102768, 0.002s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:13:06.758752, 0.646s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:13:06.771680, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:13:06.816319, 0.0368s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:13:07.050653, 0.0458s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:13:07.057622, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:13:07.096912, 0.0303s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:13:49.017893, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:13:49.614198, 0.5853s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:13:49.624174, 0.002s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:13:49.659081, 0.0259s, 61B]
